Result Number;Titolo;Descrizione;Immagine;Data;Link
147;SUMMERGAM;"SUMMERGAM ""arte per arredare..."" Abbiamo un oggetto d'arte a casa? E chi ci può dire quali oggetti d'arte arredassero le ricche case dell'800 palermitano...? 20 giugno ore 9:30 presso la Galleria d'Arte Moderna.";http://www.comune.palermo.it/img/news/galleria_artemoderna_05.png;20-GIU-13;http://www.comune.palermo.it/noticext.php?id=2032
148;SUMMERGAM - PROGRAMMA;Finisce la scuola....Inizia SUMMERGAM il campus estivo per i più piccoli per trascorrere una mattina al museo all'insegna del divertimento con tantissime attività, racconti, giochi, a cura dello staff didattica della galleria. Dal 19/06/al 27/06 presso la Galleria D'Arte Moderna.;http://www.comune.palermo.it/img/news/galleria_artemoderna_05.png;19-GIU-13;http://www.comune.palermo.it/noticext.php?id=2030
149;SUMMERGAM;"SUMMERGAM ""Arte da Incorniciare...."" Iniziamo dalle cornici : sapete che succede se applichiamo una cornice diversa a un quadro? Se ci sbizzarriamo a inventare nuove cornici diamo un aspetto diverso anche al Museo! 19 giugno ore 9:30 presso la Galleria d'Arte Moderna.";http://www.comune.palermo.it/img/news/galleria_artemoderna_05.png;19-GIU-13;http://www.comune.palermo.it/noticext.php?id=2031
150;DOG FEST 2013;"Prima edizione della "" DOG FEST"", 4° evento della campagna ""Un mattone per il Rifugio"". Una giornata interamente dedicata al divertimento all’aria aperta con attività per adulti, bambini e i nostri amati amici a 4 zampe! Villa Trabia 16 giugno ore 10:00. L'evento ha avuto il Patrocinio del Comune di Palermo.";http://www.comune.palermo.it/img/news/dog-fest_01.png;16-GIU-13;http://www.comune.palermo.it/noticext.php?id=2036
151;MOSTRA PERSONALE DI PITTURA E SCULTURA GIACOMO BERTOLINO;"Giacomo Bertolino - ""La strada tortuosa dell'Orlando furioso"" mostra personale di pittura e scultura - dal 29/05/2010 al 03/06/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2)";http://www.comune.palermo.it/img/news/bertolino_01.png;29-MAG-10;http://www.comune.palermo.it/noticext.php?id=841
152;MOSTRA STORICO ARTISTICA ALESSANDRO OLIVA E PIETRO ALES;"Alessandro Oliva e Pietro Ales - mostra storico artistica "" I giardini storici-La flora"" - dal 15/05/2010 al 21/05/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2)";http://www.comune.palermo.it/img/news/oliva_ales_01.png;15-MAG-10;http://www.comune.palermo.it/noticext.php?id=840
153;MOSTRA DI PITTURA ROBERTO TILOTTA;"Roberto Tilotta - ""Granelli di sole"" mostra di pittura - dal 24/04/2010 al 29/04/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2)";http://www.comune.palermo.it/img/news/tilotta_01.png;24-APR-10;http://www.comune.palermo.it/noticext.php?id=838
154;MOSTRA PERSONALE MARCELLO CASAMIRRA;"Marcello Casamirra - ""Il blu, il bianco e parte del ragvaiv"" - mostra di pittura dal 17/04/2010 al 22/04/2010 - Galleria di Villa Niscemi (piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/marcello_casamirra_01.png;17-APR-10;http://www.comune.palermo.it/noticext.php?id=837
155;PERSONALE DI PITTURA GIOVANNI SALAMO';"Giovanni Salamo'- mostra personale di pittura ""teatro pittorico"" luogo interiore e spazio delle emozioni - dal 10/04/2010 al 15/04/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2)";http://www.comune.palermo.it/img/news/salamo_01.png;10-APR-10;http://www.comune.palermo.it/noticext.php?id=836
156;PERSONALE DI PITTURA LUIGI SANSONE;"Luigi Sansone - personale di pittura ""Forme.Colori. Fantasia."" - dal 27/03/2010 al 01/04/2010 - Villa Niscemi (piazza dei Quartieri,2)";http://www.comune.palermo.it/img/news/sansone_luigi_01.png;27-MAR-10;http://www.comune.palermo.it/noticext.php?id=834
157;MOSTRA PERSONALE ANTONIO SANSONE;Antonio Sansone - mostra personale dal 20/03/2010 al 25/03/2010 - Galleria di Villa Niscemi (piazza dei Quartieri, 2);http://www.comune.palermo.it/img/news/sansone_01.png;20-MAR-10;http://www.comune.palermo.it/noticext.php?id=833
158;MOSTRA FOTOGRAFICA GIORGIO DI FEDE;"Giorgio Di Fede - mostra fotografica ""Una storia africana"" - dal 13/03/2010 al 18/03/2010 - Galleria di Villa Niscemi (piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/difede_01.png;13-MAR-10;http://www.comune.palermo.it/noticext.php?id=832
159;MOSTRA DI PITTURA ANTONELLO BLANDI;"Antonello Blandi - personale di pittura "" Scaramanpittando"" - dal 05/03/2010 al 11/03/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2)";http://www.comune.palermo.it/img/news/blandi_01.png;05-MAR-10;http://www.comune.palermo.it/noticext.php?id=831
160;COLLETTIVA: ANNA BICA E VINCENZA MAIORANA;Anna Bica e Vincenza Maiorana - mostra di pittura -dal 26/02/2010 al 04/03/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2);http://www.comune.palermo.it/img/news/bica_01.png;26-FEB-10;http://www.comune.palermo.it/noticext.php?id=828
161;389° FESTINO DI SANTA ROSALIA;"Musica per Rosalia - Concerto dell'Ensemble Caronna ""Gospel & Spiritual - Voices and Piano"" - Piano della Cattedrale giovedì 11 luglio ore 19,00.";http://www.comune.palermo.it/img/news/festino2013.png;11-LUG-13;http://www.comune.palermo.it/noticext.php?id=2219
162;CONCERTO PER SAN MATTEO AL CASSARO;"Lions Club Palermo dei Vespri e Associazione Culturale Arte Nuova presentano "" Concerto per la Chiesa di S.Matteo al Cassaro"" - giovedì 11 luglio 2013 ore 21:15 - Palazzo Mazzarino via Maqueda 383. L'evento ha avuto il Patrocinio del Comune di Palermo.";http://www.comune.palermo.it/img/news/mazzarino_01.png;11-LUG-13;http://www.comune.palermo.it/noticext.php?id=2170
163;389° FESTINO DI SANTA ROSALIA;"NOTE PER DOMANI - Concerto di Swing Daddies. Piazza San Domenico giovedì 11 luglio ore 21,30. Evento realizzato nell'ambito delle celebrazioni del 389° Festino di S.Rosalia dedicato quest'anno a "" chi fa il futuro""";http://www.comune.palermo.it/img/news/festino2013.png;11-LUG-13;http://www.comune.palermo.it/noticext.php?id=2261
